subset,n_tasks,metric,native,augmented,delta,delta_pct,ci_low,ci_high,positive_models,model_count
GAIA Level 2,29,NodeF1,0.5082960962310128,0.5082960962310128,0.0,0.0,0.0,0.0,0,11
GAIA Level 2,29,EdgeF1,0.08923240003944022,0.11788154110426691,0.02864914106482669,32.10620923808384,0.022329761361110534,0.035394622373947755,11,11
GAIA Level 2,29,PlanningScore,0.2941397777174003,0.30846434824981367,0.014324570532413346,4.869987542513178,0.011006475382536896,0.01759520578877036,11,11
All,54,NodeF1,0.5019164793002222,0.5019164793002222,0.0,0.0,0.0,0.0,0,11
All,54,EdgeF1,0.08002041007394703,0.10802015430688443,0.02799974423293737,34.99075324290734,0.023260207062134285,0.032587605295035925,11,11
All,54,PlanningScore,0.28800794065237095,0.3020078127688397,0.013999872116468687,4.860932682882762,0.011597412686181231,0.0165933194730968,11,11
