threshold,is_multi_order_rich_threshold,tasks,retained_rows,parallelism_mean,parallelism_median,kendall_mean,kendall_median,kendall_max
>=1,False,58,1357,0.4000744810897528,0.4,0.22985416095970135,0.2,0.6666666666666666
>=2,True,54,1353,0.4006958958087737,0.4,0.2302521389810513,0.2,0.6666666666666666
>=5,False,40,1314,0.4041952809478998,0.4,0.2321587208568554,0.20512820512820512,0.6666666666666666
>=10,False,32,1266,0.409855303990375,0.4,0.23599343890970734,0.2087912087912088,0.6666666666666666
>=20,False,26,1163,0.42167170748426125,0.4285714285714286,0.2458057755925304,0.2222222222222222,0.6666666666666666
>=50,False,13,650,0.425779348856272,0.4,0.25852131666284867,0.2222222222222222,0.6666666666666666
