reference_rows,rows,native_len_mean,native_len_median,critical_path_mean,critical_path_median,parallelism_ratio_mean,parallelism_ratio_median,kendall_mean,kendall_median,kendall_max
All final references,1522,12.151773981603153,10.0,6.220105124835743,6.0,0.4249169757912377,0.4444444444444444,0.20493567439048274,0.19047619047619047,0.6666666666666666
Native chain references,165,7.781818181818182,7,5.96969696969697,6,0.14243617306509657,0.0,0.0,0.0,0.0
Retained non-native references,1357,12.683124539425203,10,6.250552689756817,6,0.45926430994732703,0.4444444444444444,0.22985416095970135,0.2,0.6666666666666666
