bucket,n_tasks,native_chain_mean,native_chain_median,native_chain_min,native_chain_max,critical_path_mean,critical_path_median,critical_path_min,critical_path_max,parallelism_ratio_mean,parallelism_ratio_median,parallelism_ratio_min,parallelism_ratio_max,retained_orderings_mean,candidate_orderings_mean,retained_ordering_distance_mean,retained_ordering_distance_median,retained_ordering_distance_max
all,165,7.781818181818182,7.0,1,44,6.454545454545454,6.0,1,34,0.11559907365533964,0.0,0.0,0.7045454545454546,8.224242424242425,11.593939393939394,0.18821579536763716,0.16666666666666666,0.6666666666666666
native-only,107,6.345794392523365,6.0,1,34,6.345794392523365,6.0,1,34,0.0,0.0,0.0,0.0,0.0,2.4953271028037385,,,
exactly-one,4,5.5,5.5,4,7,4.5,4.5,3,6,0.18988095238095237,0.1833333333333333,0.1428571428571429,0.25,1.0,2.0,0.09523809523809525,0.08333333333333334,0.16666666666666666
multi-order-rich,54,10.796296296296296,9.0,4,44,6.814814814814815,6.5,3,16,0.33915413599272654,0.33333333333333337,0.05882352941176472,0.7045454545454546,25.055555555555557,30.333333333333332,0.19510303241426993,0.17817460317460318,0.6666666666666666
