sample_id,cat,domain,level,native_chain_length,critical_path_length,parallelism_ratio,candidate_orderings,retained_orderings,filtered_orderings,bucket,max_parallelism,retained_ordering_distance_mean,retained_ordering_distance_median,retained_ordering_distance_max
08cae58d-4084-4616-b6dd-dd6534e4825b,A,Text,2,5,5,0.0,1,0,1,native-only,1,,,
2dfc4c37-fec1-4518-84a7-10095d30ad75,A,Text,2,8,8,0.0,1,0,0,native-only,1,,,
935e2cff-ae78-4218-b3f5-115589b19dae,A,Text,1,8,8,0.0,1,0,1,native-only,1,,,
4fc2f1ae-8625-45b5-ab34-ad4433bc21f8,A,Text,1,2,2,0.0,1,0,1,native-only,1,,,
5188369a-3bbe-43d8-8b94-11558f909a08,A,Text,1,7,7,0.0,1,0,1,native-only,1,,,
9f41b083-683e-4dcf-9185-ccfeaa88fa45,A,Text,2,12,12,0.0,1,0,1,native-only,1,,,
6f37996b-2ac7-44b0-8e68-6d28256631b4,A,Text,1,3,3,0.0,1,0,0,native-only,1,,,
56db2318-640f-477a-a82f-bc93ad13e882,A,Text,3,34,34,0.0,50,0,50,native-only,34,,,
ecbc4f94-95a3-4cc7-b255-6741a458a625,A,Text,2,12,12,0.0,1,0,1,native-only,1,,,
8131e2c0-0083-4265-9ce7-78c2d568425d,A,Text,3,17,16,0.05882352941176472,6,5,0,multi-order-rich,2,0.022058823529411763,0.022058823529411766,0.03676470588235294
71345b0a-9c7d-4b50-b2bf-937ec5879845,A,Text,2,9,9,0.0,1,0,0,native-only,1,,,
72c06643-a2fa-4186-aa5c-9ec33ae9b445,A,Text,3,26,12,0.5384615384615384,50,50,0,multi-order-rich,7,0.2960615384615385,0.2953846153846154,0.3076923076923077
ebbc1f13-d24d-40df-9068-adcf735b4240,A,Text,3,8,8,0.0,1,0,0,native-only,1,,,
7b5377b0-3f38-4103-8ad2-90fe89864c04,A,Text,2,5,3,0.4,6,4,1,multi-order-rich,3,0.17500000000000002,0.15000000000000002,0.3
114d5fd0-e2ae-4b6d-a65a-870da2d19c08,A,Text,2,7,7,0.0,1,0,1,native-only,1,,,
