pool,subset,n_tasks,n_models,n_pairs,native_or_tie_pairs,augmented_helped_pairs,augmented_helped_rate,mean_edge_delta,median_edge_delta,positive_models
open-weight,All,54,7,378,303,75,0.1984126984126984,0.03367418299915686,0.0,7
closed-model,All,57,8,456,380,76,0.16666666666666666,0.028284373391969972,0.0,8
all-models,All,57,15,834,683,151,0.18105515587529977,0.030727236739112235,0.0,15
open-weight,GAIA Level 2,29,7,203,162,41,0.2019704433497537,0.03609928862334725,0.0,7
closed-model,GAIA Level 2,32,8,256,214,42,0.1640625,0.027653938815473737,0.0,8
all-models,GAIA Level 2,32,15,459,376,83,0.18082788671023964,0.03138902816405396,0.0,15
