Slice,ATS,TISR,N,Accepted rate,mean r_native,mean r_aug,mean Delta r,Positive models
Level 2 Text/Document/Audio tool-clean,0.5,0.5,422,0.2014218009478673,0.03705649888901277,0.050715478669223435,0.013658979780210663,5/7
Level 2 Text/Document/Audio tool-clean,0.5,0.7,398,0.20100502512562815,0.05040259210908255,0.06480262828190196,0.014400036172819401,5/7
Level 2 Text/Document/Audio tool-clean,0.5,0.9,342,0.21052631578947367,0.04944439650722647,0.0679289252508681,0.01848452874364163,5/7
Level 2 Text/Document/Audio tool-clean,0.7,0.7,210,0.1761904761904762,0.0790020956036918,0.09425095207920056,0.015248856475508756,3/7
Level 2 Text/Document/Audio tool-clean,0.7,0.9,180,0.16666666666666666,0.07166959224193631,0.09376809026616871,0.022098498024232402,3/7
Level 2 Text/Document/Audio tool-clean,0.9,0.7,185,0.1837837837837838,0.060691407209136204,0.07951528681929082,0.018823879610154613,3/7
Level 2 Text/Document/Audio tool-clean,0.9,0.9,157,0.17197452229299362,0.05419590129185755,0.07951347895515803,0.025317577663300485,3/7
Level 2 Text/Document/Audio tool-intensive (gold tools >=2),0.5,0.7,335,0.21194029850746268,0.07021404846737438,0.08621820051349872,0.016004152046124348,5/7
