Model,N,Accepted rate,r_native,r_aug,Delta r,95% CI of Delta r,Positive models
Mistral Large 3,45,0.15555555555555556,-0.11128402859512103,-0.09178102004796419,0.019503008547156836,"[-0.029,+0.086]",
Llama-3.1,43,0.18604651162790697,0.2001000386750088,0.18926595832482293,-0.010834080350185876,"[-0.039,+0.000]",
Llama-3.3,48,0.20833333333333334,-0.044146933541921854,-0.0032655145704317823,0.04088141897149007,"[-0.033,+0.142]",
Gemma 4,52,0.40384615384615385,0.27199792798027544,0.2893619615759799,0.01736403359570443,"[-0.012,+0.054]",
Mistral Small 3.2,50,0.14,0.05129033155363936,0.07282870482121555,0.02153837326757619,"[-0.047,+0.110]",
Llama-4 Maverick,51,0.27450980392156865,0.03142685953013084,0.07394339444754883,0.042516534917417984,"[-0.025,+0.131]",
Gemma 3,46,0.08695652173913043,0.09211414366960903,0.07317391904331982,-0.018940224626289207,"[-0.066,+0.001]",
Model mean / total,335,0.21194029850746268,0.07021404846737438,0.08621820051349872,0.016004152046124348,--,5/7
