Model,Params,N,Accepted rate,r_native,r_aug,Delta r,95% CI of Delta r,Positive models
Mistral Large 3,675B,53,0.16981132075471697,-0.15571784372263442,-0.14124771575675885,0.014470127965875573,"[-0.025,+0.074]",
Llama-3.1,405B,49,0.1836734693877551,0.216596106594652,0.20658044567528472,-0.010015660919367286,"[-0.034,+0.000]",
Llama-3.3,70B,58,0.1724137931034483,-0.08017489996577722,-0.03699932605116479,0.04317557391461243,"[-0.022,+0.145]",
Gemma 4,31B,62,0.3709677419354839,0.25848072977834957,0.2760361438033553,0.01755541402500571,"[-0.007,+0.053]",
Mistral Small 3.2,24B,60,0.15,0.03918417589023025,0.05566259734909927,0.01647842145886902,"[-0.039,+0.092]",
Llama-4 Maverick,17B,59,0.2542372881355932,0.03272384564438076,0.06689225649289257,0.03416841084851181,"[-0.027,+0.110]",
Gemma 3,12B,57,0.08771929824561403,0.04172603054437693,0.026693996460605475,-0.015032034083771455,"[-0.046,-0.000]",
Model mean / total,--,398,0.20100502512562815,0.05040259210908255,0.06480262828190196,0.014400036172819401,--,5/7
